Docket,Term,Circuit,Issue,Petitioner,Respondent,LowerCourt,Unconst,Reverse
94-372,1994,FED,EconomicActivity,OTHER,OTHER,liberal,0,1
94-590,1994,9th,CriminalProcedure,OTHER,OTHER,liberal,0,0
94-749,1994,1st,FirstAmendment,OTHER,OTHER,conser,1,1
94-859,1994,DC,JudicialPower,OTHER,OTHER,conser,0,1
94-1530,1995,6th,JudicialPower,OTHER,OTHER,conser,0,0
94-967,1995,1st,EconomicActivity,OTHER,OTHER,liberal,0,1
95-365,1995,DC,JudicialPower,OTHER,OTHER,conser,0,1
95-559,1995,9th,JudicialPower,OTHER,OTHER,conser,0,1
95-719,1995,2nd,FederalismAndInterstateRelations,OTHER,OTHER,conser,1,1
95-1455,1996,DC,CivilRights,OTHER,OTHER,liberal,0,0
95-1694,1996,9th,EconomicActivity,OTHER,OTHER,liberal,1,1
95-1723,1996,9th,EconomicActivity,OTHER,OTHER,conser,0,0
95-813,1996,9th,JudicialPower,OTHER,OTHER,conser,0,1
95-853,1996,5th,DueProcess,OTHER,OTHER,conser,1,1
95-938,1996,9th,CivilRights,OTHER,OTHER,liberal,0,1
96-243,1996,9th,DueProcess,OTHER,OTHER,conser,1,1
96-454,1996,5th,EconomicActivity,OTHER,OTHER,liberal,0,0
96-79,1996,5th,EconomicActivity,OTHER,OTHER,conser,0,1
96-1060,1997,DC,DueProcess,OTHER,OTHER,conser,1,0
96-1370,1997,8th,EconomicActivity,OTHER,OTHER,liberal,0,0
96-1462,1997,2nd,FederalismAndInterstateRelations,OTHER,OTHER,conser,1,0
96-1866,1997,5th,EconomicActivity,OTHER,OTHER,conser,0,1
97-16,1997,6th,JudicialPower,OTHER,OTHER,liberal,0,1
97-371,1997,9th,FirstAmendment,OTHER,OTHER,liberal,0,1
97-461,1997,7th,JudicialPower,OTHER,OTHER,conser,1,1
97-5737,1997,9th,JudicialPower,OTHER,OTHER,conser,0,1
97-581,1997,3rd,CriminalProcedure,OTHER,OTHER,liberal,0,0
96-1570,1998,2nd,EconomicActivity,OTHER,OTHER,liberal,0,1
96-1793,1998,8th,CivilRights,OTHER,OTHER,liberal,0,0
97-1184,1998,4th,Unions,OTHER,OTHER,conser,0,1
97-1252,1998,9th,JudicialPower,OTHER,OTHER,liberal,0,1
97-1418,1998,7th,EconomicActivity,OTHER,OTHER,liberal,0,0
97-1625,1998,9th,EconomicActivity,OTHER,OTHER,liberal,0,0
97-1754,1998,9th,CivilRights,OTHER,OTHER,liberal,0,1
97-1909,1998,11th,EconomicActivity,OTHER,OTHER,conser,0,1
97-843,1998,11th,CivilRights,OTHER,OTHER,conser,0,1
98-10,1998,11th,JudicialPower,OTHER,OTHER,liberal,0,1
98-231,1998,2nd,JudicialPower,OTHER,OTHER,liberal,0,0
98-369,1998,11th,FederalTaxation,OTHER,OTHER,liberal,0,0
98-377,1998,FED,JudicialPower,OTHER,OTHER,liberal,0,1
98-727,1998,6th,JudicialPower,OTHER,OTHER,conser,0,0
98-822,1998,4th,JudicialPower,OTHER,OTHER,conser,0,1
98-97,1998,9th,CivilRights,OTHER,OTHER,liberal,0,0
98-1189,1999,7th,FirstAmendment,OTHER,OTHER,liberal,0,1
98-1960,1999,11th,EconomicActivity,OTHER,OTHER,conser,0,1
98-405,1999,DC,CivilRights,OTHER,OTHER,conser,1,1
98-896,1999,5th,EconomicActivity,OTHER,OTHER,conser,0,0
99-138,1999,9th,Privacy,OTHER,OTHER,liberal,1,1
99-387,1999,7th,EconomicActivity,OTHER,OTHER,liberal,0,1
99-502,1999,6th,Attorneys,OTHER,OTHER,conser,0,1
99-62,1999,5th,FirstAmendment,OTHER,OTHER,liberal,1,0
00-1011,2000,2nd,JudicialPower,OTHER,OTHER,conser,1,1
00-201,2000,2nd,EconomicActivity,OTHER,OTHER,liberal,0,1
00-767,2000,2nd,JudicialPower,OTHER,OTHER,liberal,0,0
99-1529,2000,9th,EconomicActivity,OTHER,OTHER,conser,0,0
99-1977,2000,5th,FirstAmendment,OTHER,OTHER,liberal,0,1
99-2036,2000,2nd,FirstAmendment,OTHER,OTHER,liberal,0,0
99-2071,2000,5th,CriminalProcedure,OTHER,OTHER,conser,1,0
99-603,2000,2nd,FirstAmendment,OTHER,OTHER,liberal,0,0
99-7791,2000,5th,DueProcess,OTHER,OTHER,conser,0,1
00-1045,2001,9th,Privacy,OTHER,OTHER,liberal,0,1
00-1073,2001,10th,Privacy,OTHER,OTHER,liberal,0,1
00-1514,2001,8th,CivilRights,OTHER,OTHER,conser,1,1
00-952,2001,FED,CivilRights,OTHER,OTHER,liberal,0,0
94-1039,1995,10th,CivilRights,POLITICIAN,OTHER,liberal,0,0
95-489,1995,10th,FirstAmendment,POLITICIAN,OTHER,conser,1,0
95-1201,1996,9th,CivilRights,POLITICIAN,OTHER,conser,0,1
95-2024,1996,11th,FederalismAndInterstateRelations,POLITICIAN,OTHER,liberal,1,0
97-1396,1998,9th,CivilRights,POLITICIAN,OTHER,conser,0,1
00-836,2000,11th,DueProcess,POLITICIAN,OTHER,liberal,1,1
93-1823,1994,8th,CivilRights,STATE,OTHER,liberal,1,0
95-1649,1996,10th,DueProcess,STATE,OTHER,liberal,0,0
95-1858,1996,2nd,Privacy,STATE,OTHER,liberal,0,1
96-110,1996,9th,Privacy,STATE,OTHER,liberal,0,1
96-1400,1997,9th,FederalismAndInterstateRelations,STATE,OTHER,liberal,0,0
00-568,2001,DC,EconomicActivity,STATE,OTHER,conser,0,0
00-957,2001,10th,CriminalProcedure,STATE,OTHER,liberal,0,0
93-1170,1994,DC,FirstAmendment,US,OTHER,liberal,0,0
93-1260,1994,5th,FederalismAndInterstateRelations,US,OTHER,conser,0,1
94-270,1994,9th,CriminalProcedure,US,OTHER,conser,0,1
95-323,1995,6th,EconomicActivity,US,OTHER,conser,0,1
95-1717,1996,6th,DueProcess,US,OTHER,liberal,1,1
96-842,1996,8th,EconomicActivity,US,OTHER,conser,0,1
96-1133,1997,FED,DueProcess,US,OTHER,liberal,0,0
97-731,1997,5th,JudicialPower,US,OTHER,liberal,0,1
97-873,1997,2nd,CriminalProcedure,US,OTHER,liberal,0,1
98-1701,1999,9th,FederalismAndInterstateRelations,US,OTHER,conser,0,1
99-5,1999,4th,JudicialPower,US,OTHER,conser,0,1
00-1260,2001,9th,CriminalProcedure,US,OTHER,liberal,0,1
93-1456,1994,8th,CivilRights,BUSINESS,POLITICIAN,liberal,0,0
96-779,1997,8th,FirstAmendment,BUSINESS,POLITICIAN,liberal,0,0
94-631,1994,11th,CivilRights,GOVERNMENT.OFFICIAL,POLITICIAN,conser,0,1
94-805,1995,5th,CivilRights,GOVERNMENT.OFFICIAL,POLITICIAN,conser,0,1
96-670,1997,5th,CivilRights,GOVERNMENT.OFFICIAL,POLITICIAN,liberal,1,0
98-85,1998,4th,CivilRights,GOVERNMENT.OFFICIAL,POLITICIAN,conser,1,1
98-963,1999,8th,FirstAmendment,GOVERNMENT.OFFICIAL,POLITICIAN,conser,0,1
99-1864,2000,4th,JudicialPower,GOVERNMENT.OFFICIAL,POLITICIAN,conser,0,1
99-929,2000,8th,FirstAmendment,GOVERNMENT.OFFICIAL,POLITICIAN,liberal,0,0
95-1608,1996,8th,CivilRights,OTHER,POLITICIAN,liberal,0,0
96-1671,1996,DC,JudicialPower,OTHER,POLITICIAN,liberal,0,0
96-1590,1997,DC,FirstAmendment,OTHER,POLITICIAN,conser,0,1
00-191,2000,10th,FirstAmendment,OTHER,POLITICIAN,conser,0,1
94-203,1995,4th,CivilRights,POLITICIAN,POLITICIAN,conser,1,1
99-51,1999,9th,CivilRights,POLITICIAN,POLITICIAN,conser,0,1
00-949,2000,11th,DueProcess,POLITICIAN,POLITICIAN,liberal,1,0
94-558,1994,5th,CivilRights,US,POLITICIAN,liberal,0,1
94-1140,1995,1st,FirstAmendment,BUSINESS,STATE,conser,1,1
97-2045,1998,11th,DueProcess,BUSINESS,STATE,liberal,1,1
93-7407,1994,6th,JudicialPower,CRIMINAL.DEFENDENT,STATE,conser,1,1
93-7659,1994,11th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
93-7901,1994,8th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
93-7927,1994,5th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
94-5707,1994,8th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
94-6790,1994,5th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
94-6615,1995,9th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
95-5015,1995,11th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
95-6510,1995,4th,DueProcess,CRIMINAL.DEFENDENT,STATE,liberal,1,0
95-8836,1995,11th,JudicialPower,CRIMINAL.DEFENDENT,STATE,conser,1,0
95-7452,1996,11th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
96-5658,1996,11th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
96-5955,1996,7th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,0
96-6133,1996,7th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
96-6298,1996,7th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
96-6867,1996,4th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
96-1584,1997,5th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
96-7171,1997,8th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
96-7901,1997,5th,JudicialPower,CRIMINAL.DEFENDENT,STATE,conser,0,1
96-8400,1997,4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
96-8653,1997,4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
97-6146,1997,FED,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
97-7213,1998,3rd,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,0
97-7597,1998,8th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
98-5864,1998,4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,0
98-5881,1998,4th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
98-6322,1999,9th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
98-7540,1999,5th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
98-8384,1999,4th,CivilRights,CRIMINAL.DEFENDENT,STATE,conser,0,1
99-478,1999,3rd,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
99-5746,1999,4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
99-6615,1999,4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
99-7000,1999,4th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
00-5250,2000,4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
00-5961,2000,5th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,0,1
00-6677,2000,5th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
98-942,2000,3rd,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
99-1408,2000,5th,JudicialPower,CRIMINAL.DEFENDENT,STATE,conser,1,1
99-1964,2000,3rd,JudicialPower,CRIMINAL.DEFENDENT,STATE,conser,0,0
99-6218,2000,6th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
99-9136,2000,9th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
00-6933,2001,8th,DueProcess,CRIMINAL.DEFENDENT,STATE,conser,1,1
00-9280,2001,4th,CriminalProcedure,CRIMINAL.DEFENDENT,STATE,conser,1,1
95-974,1996,9th,FirstAmendment,EMPLOYEE,STATE,conser,0,0
98-436,1998,1st,Unions,EMPLOYEE,STATE,conser,0,1
94-12,1995,11th,CivilRights,AMERICAN.INDIAN,STATE,conser,0,1
94-8729,1995,6th,DueProcess,OTHER,STATE,conser,1,1
95-5207,1995,10th,CriminalProcedure,OTHER,STATE,conser,1,1
95-1598,1996,10th,DueProcess,OTHER,STATE,liberal,0,0
98-1856,1999,10th,FirstAmendment,OTHER,STATE,liberal,1,0
99-2047,2000,1st,CivilRights,OTHER,STATE,liberal,1,0
95-2031,1996,5th,CivilRights,POLITICIAN,STATE,conser,0,1
98-818,1999,9th,CivilRights,POLITICIAN,STATE,liberal,1,0
94-1941,1995,4th,CivilRights,US,STATE,conser,1,1
98-387,1998,5th,FirstAmendment,BUSINESS,US,conser,1,1
99-116,1999,11th,CivilRights,BUSINESS,US,liberal,1,0
99-244,1999,FED,EconomicActivity,BUSINESS,US,liberal,0,0
99-859,2000,9th,EconomicActivity,BUSINESS,US,conser,0,1
93-6892,1994,10th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
94-6187,1994,5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
94-1664,1995,9th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
94-7427,1995,10th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
94-7448,1995,DC,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
94-8769,1995,7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
94-9088,1995,7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
94-9247,1995,6th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
95-5257,1995,7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
95-5661,1995,3rd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
95-5841,1995,DC,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,0
95-6465,1995,2nd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
95-6556,1996,9th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
96-203,1996,11th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,0
96-1279,1997,11th,DueProcess,CRIMINAL.DEFENDENT,US,conser,1,0
96-1579,1997,2nd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
96-1654,1997,5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
96-7151,1997,5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
96-7185,1997,7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
96-827,1997,DC,FirstAmendment,CRIMINAL.DEFENDENT,US,conser,1,1
96-8422,1997,2nd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
96-8516,1997,8th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
96-8732,1997,7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,0
96-8986,1997,8th,JudicialPower,CRIMINAL.DEFENDENT,US,conser,0,1
96-976,1997,10th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
97-6270,1997,1st,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
97-6203,1998,9th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
97-7164,1998,2nd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
97-7541,1998,3rd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
97-8629,1998,7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
97-9217,1998,3rd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
97-9361,1998,5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
98-9349,1999,5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
98-9828,1999,9th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
99-5525,1999,4th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
99-5716,1999,3rd,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
99-5739,1999,7th,FederalismAndInterstateRelations,CRIMINAL.DEFENDENT,US,conser,1,1
99-658,1999,5th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
99-7504,2000,8th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,1
99-8576,2000,7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,1,1
99-9073,2000,7th,CriminalProcedure,CRIMINAL.DEFENDENT,US,conser,0,0
00-6567,2001,6th,DueProcess,CRIMINAL.DEFENDENT,US,conser,1,1
95-232,1995,5th,JudicialPower,EMPLOYEE,US,conser,0,1
00-507,2001,10th,CivilRights,AMERICAN.INDIAN,US,conser,0,0
95-1478,1996,9th,CriminalProcedure,GOVERNMENT.OFFICIAL,US,liberal,1,0
95-966,1996,10th,JudicialPower,GOVERNMENT.OFFICIAL,US,liberal,0,0
96-738,1997,5th,CriminalProcedure,GOVERNMENT.OFFICIAL,US,conser,0,0
98-1101,1999,8th,FederalTaxation,GOVERNMENT.OFFICIAL,US,liberal,0,0
98-1667,1999,DC,FederalTaxation,GOVERNMENT.OFFICIAL,US,liberal,0,0
00-157,2000,4th,FederalTaxation,GOVERNMENT.OFFICIAL,US,liberal,0,0
00-1567,2001,1st,EconomicActivity,GOVERNMENT.OFFICIAL,US,liberal,0,0
94-172,1994,6th,JudicialPower,OTHER,US,conser,0,1
94-431,1994,FED,JudicialPower,OTHER,US,conser,0,1
94-1966,1995,FED,JudicialPower,OTHER,US,conser,1,0
95-173,1995,9th,EconomicActivity,OTHER,US,conser,1,1
96-262,1996,FED,JudicialPower,OTHER,US,conser,0,0
96-6839,1997,5th,CriminalProcedure,OTHER,US,conser,1,1
97-1192,1997,DC,JudicialPower,OTHER,US,conser,0,1
97-1985,1998,11th,CriminalProcedure,OTHER,US,conser,1,0
98-1828,1999,2nd,CriminalProcedure,OTHER,US,conser,1,1
99-5153,1999,6th,CriminalProcedure,OTHER,US,conser,0,0
99-804,2000,5th,CriminalProcedure,OTHER,US,liberal,0,1
99-8508,2000,9th,CriminalProcedure,OTHER,US,conser,1,0
97-29,1997,DC,CivilRights,STATE,US,conser,0,0
00-189,2000,9th,CivilRights,STATE,US,liberal,0,0
